Name,Age,Join_Date,Email,Department,Phone,City,Country,Salary,Remarks
Subodh,21,2024/05/10,subodh@,IT,9876543210,Jaipur,India,50000,Good
Amit,22,10-05-2024,amit@example.com,HR,9123456780,Delhi,India,45000,Average
Amit,22,10-05-2024,amit@example.com,HR,9123456780,Delhi,India,45000,Average
Riya,20,2024-05-11,,Finance,,Mumbai,India,48000,Excellent
Karan,23,12-05-2024,karan@,Marketing,9988776655,Bangalore,India,47000,Good
Neha,,2024/05/13,neha@example.com,IT,9871234567,Pune,India,51000,Average
Rahul,24,2024-05-14,rahul@gmail.com,Finance,9874563210,Chennai,India,50000,Good
Sneha,21,,sneha@example.com,HR,9876541230,Kolkata,India,46000,Average
Amit,22,10-05-2024,amit@example.com,HR,9123456780,Delhi,India,45000,Average
Riya,20,2024-05-11,,Finance,,Mumbai,India,48000,Excellent
